,KreisID,Minijob,Zahnarzt,Krankenhausbetten,Hausarzt_je_EW,Grundsicherung,Soziooekonomische_Lage,Breitband,Baulandpreise,Facharzt,Tanken,Bevoelkerung_Auslaender,Schulabg_Hochschulreife,Wanderungen,GrosseZentren,Nahversorgung,vorschule,Lebenserwartung_maennlich,Wohnflaeche,Lebenserwartung_weiblich,Bevoelkerungspotenzial,Schulabg_ohne,WissensintensiveIndustrien,ALQ_gemittelt,Steuerkraft,BIP,Breitband_Kreise,ambulantePflege,SuV_Anteil,stationaerePflege,Schulden,Pflegegeld,BeschaeftigteOhne,ALQ,Laendlichkeit,Einkuenfte,LuW_Anteil,Thuenen.Typologie,SuV_Veraenderung,BeschaeftigteAkademisch,Bevoelkerungsdichte,Apotheke,Pflegedienst,Ein_Zwei_Fam_Haeuser,Polizei,Bevoelkerung_insgesamt,Breitband_GemVB,Wohnungsleerstand,Hausarzt,Siedlungsdichte,Freiflaeche,Natuerliche_Bev_Entwicklung,Lohn,Grundschule,Krippenkinder,district_name,Weib 10 bis unter 15 Jahre,Weib 15 bis unter 18 Jahre,Weib 18 bis unter 20 Jahre,Weib 20 bis unter 25 Jahre,Weib 25 bis unter 30 Jahre,Weib 3 bis unter 6 Jahre,Weib 30 bis unter 35 Jahre,Weib 35 bis unter 40 Jahre,Weib 40 bis unter 45 Jahre,Weib 45 bis unter 50 Jahre,Weib 50 bis unter 55 Jahre,Weib 55 bis unter 60 Jahre,Weib 6 bis unter 10 Jahre,Weib 60 bis unter 65 Jahre,Weib 65 bis unter 75 Jahre,Weib 75 Jahre und mehr,Weib Insgesamt,Weib unter 3 Jahre,Mann 10 bis unter 15 Jahre,Mann 15 bis unter 18 Jahre,Mann 18 bis unter 20 Jahre,Mann 20 bis unter 25 Jahre,Mann 25 bis unter 30 Jahre,Mann 3 bis unter 6 Jahre,Mann 30 bis unter 35 Jahre,Mann 35 bis unter 40 Jahre,Mann 40 bis unter 45 Jahre,Mann 45 bis unter 50 Jahre,Mann 50 bis unter 55 Jahre,Mann 55 bis unter 60 Jahre,Mann 6 bis unter 10 Jahre,Mann 60 bis unter 65 Jahre,Mann 65 bis unter 75 Jahre,Mann 75 Jahre und mehr,Mann Insgesamt,Mann unter 3 Jahre
55,15091,12.4,6.26833333333333,48.2,64.5,8.7,1.84,51.7,28.9,17.8502747301434,13.0966666666667,1.9,24,-2.5,40.615,7.13333333333333,98.1,75.9,45.9,81.9,136,10,8,11.1,480,22900,51.7,28.5,8.6,25.4,1369.5,46.1,4.3,10.5,0.73,2088,88.6,1,NA,8.7,67,8.805,9.81833333333333,28.9,9.93333333333333,-2.6,NA,90.6,8.63833333333333,773.2,93.6,NA,1996.1,NA,60.5,LK Wittenberg,2385,1392,797,1573,2192,1418,3279,3185,2981,3908,5354,6022,1904,5647,8570,11949,63907,1351,2467,1568,1049,1961,2602,1458,3689,3732,3247,4322,5577,6014,2078,5332,7825,7560,61933,1452
56,16051,14.5,3.675,80.7,63,19.4,-99,94.6,143.8,9.16376224377884,5.21,4.1,40.6,7.6,1.635,4.21666666666667,96.8,77.8,38.8,82.9,348,8.3,3.8,9.4,520,37100,94.6,18.4,27.8,34.3,471.6,47.3,5.4,8.2,-0.77,2516,69,5,7.2,17.2,764,5.44666666666667,7.585,143.8,9.23333333333333,2.1,94.6,78.6,5.27666666666667,2750.2,75.4,-0.85,2249.8,4.05,45.5,SK Erfurt,4313,2415,2105,6682,7157,3010,8123,7093,5772,6178,7567,7867,3719,7308,12248,15027,109779,3195,4462,2478,1954,5696,7159,3131,9003,7812,6371,6801,7466,7786,3883,6583,10214,9936,103920,3185
57,16052,12,4.95,101.9,72,10.1,NA,83.2,62.7,8.67080471991701,6.8275,2.2,NA,1.9,1.605,5.5925,97.4,76.3,43.9,82,302,NA,5.1,12.2,427,26000,83.2,38.9,23.7,28.6,1132.1,32.5,4.7,11.2,NA,2212,74.8,4,11.7,11.4,621,6.08666666666667,5.84333333333333,62.7,7.51666666666667,-1.3,83.2,NA,5.19583333333333,2620.9,79.8,-6.58,2061,4.61666666666667,55.5,SK Gera,1740,1021,718,1516,2202,1122,2739,2607,2094,2541,3499,4114,1513,4142,6758,9137,48635,1172,1853,1047,792,1766,2181,1253,3068,2864,2503,2800,3453,4064,1586,3695,5674,5707,45517,1211
58,16053,14,5.68166666666667,133.5,59.1,14.7,-99,98.1,172.6,8.27033893369176,5.525,5.8,55.6,3.5,2.1475,4.14666666666667,97.7,79,38.3,84,282,4.4,12.4,7.1,586,36900,98.1,29.1,24.3,37,688.3,33.9,4.7,7,-0.9,2819,72,5,3.5,30.2,943,5.15333333333333,5.755,172.6,7.15833333333333,1.7,98.1,49.2,4.60583333333333,3886.6,78.6,1.33,2438.4,4.26666666666667,55.5,SK Jena,2162,1196,1057,4422,4762,1562,4660,3746,2831,2764,3176,3178,1937,3147,5693,7835,55742,1614,2292,1246,1121,4196,5512,1671,5708,4421,3130,3143,3387,3149,2032,2780,4771,5402,55665,1704
59,16054,17.4,4.89333333333333,164.9,66.3,6.5,NA,92.4,28.8,9.7721467704729,6.50583333333333,4.9,NA,-0.1,40.2208333333333,5.23666666666667,92.8,75,41.5,79.6,178,NA,8.6,8,539,28500,92.4,27.7,19.2,23.2,4947.6,49.1,4.2,7.1,NA,2323,80,1,15.6,13.2,352,5.33416666666667,8.175,28.8,8.50833333333333,-1,92.4,NA,4.95333333333333,1828.2,82.3,-6.45,2126.1,6.925,54.7,SK Suhl,556,314,216,518,741,386,806,801,767,1025,1386,1599,454,1579,3008,3372,17875,347,587,381,319,725,746,425,985,956,834,1089,1353,1491,491,1371,2503,2349,16960,355
60,16055,14.5,3.83416666666667,87.4,72.5,16.4,NA,89.7,123.8,6.78337715194611,4.83166666666667,5.5,NA,2.7,18.6316666666667,3.32666666666667,99.7,77.6,39.6,82.3,263,NA,4,9.5,421,29100,89.7,36.4,26.7,29.6,1341.3,34,5,8.5,NA,2638,68.5,4,1.8,22.4,751,4.86,4.77166666666667,123.8,5.83333333333333,0.9,89.7,NA,4.40583333333333,2818.3,76.4,-0.68,2185,3.41666666666667,54.1,SK Weimar,1342,761,609,1853,2232,938,2305,2185,1791,1928,2264,2372,1172,2107,3694,4970,33435,912,1484,842,670,1802,2255,946,2526,2299,1944,1998,2230,2263,1262,1877,3123,3158,31655,976
61,16056,11,4.49,96.5,76.4,14.4,NA,84.8,38.8,8.12182937116564,4.32,3.9,NA,5.8,44.5191666666667,4.30666666666667,95.2,74.3,41.6,80.2,181,NA,23.2,9.4,492,38300,84.8,21,18.3,33.3,1502.8,45.7,7.3,8.5,NA,2528,79,1,3.8,9.4,402,5.38166666666667,5.38833333333333,38.8,6.9,0.4,84.8,NA,4.66916666666667,2197.6,83.2,-5.43,2210.3,4.75833333333333,50.1,SK Eisenach,836,502,317,714,1023,514,1334,1315,1099,1313,1542,1805,656,1536,2597,3851,21496,542,956,544,405,915,1151,587,1446,1465,1221,1480,1642,1776,759,1420,2137,2380,20874,590
62,16061,13.1,5.13666666666667,44.2,64.5,6.1,0.51,92.5,41.3,12.2038770993973,10.2716666666667,1.5,36,-3.2,39.2541666666667,5.08166666666667,98.9,78.3,42.1,83.2,167,5.7,7.9,6.7,410,22200,92.5,21.2,9.2,19.7,1264.8,59.1,4.9,5.6,0.74,2123,89.1,1,NA,7.3,107,6.34666666666667,8.275,41.3,11.0833333333333,-1.2,NA,20.4,5.275,1158.9,91.4,NA,1926.9,NA,46.6,LK Eichsfeld,2251,1360,743,1517,2125,1467,3098,3206,2813,2996,3803,4230,1936,3963,5931,7133,50016,1444,2373,1412,894,1857,2311,1487,3350,3560,3238,3431,4030,4299,1971,3971,5791,4900,50364,1489
63,16062,12.4,5.58333333333333,119.2,63.5,6.1,1.62,70.7,29.2,14.8671591075241,8.62,2.3,24.9,-1.5,57.7333333333333,5.97,97.2,75.8,42.7,81.6,143,10.5,10,10.5,393,23000,70.7,18.8,10.2,29,1234,52.2,5.6,9.6,0.54,2269,86.1,1,NA,9.7,119,7.85333333333333,7.05166666666667,29.2,12.7,-1.9,NA,51.8,6.34833333333333,1162.5,90.6,NA,2043.2,NA,50.1,LK Nordhausen,1705,965,701,1704,1688,1045,2369,2320,1957,2634,3323,3700,1361,3339,5475,7072,42345,987,1809,1113,779,1850,1934,1133,2798,2596,2227,2749,3380,3693,1451,3357,4768,4772,41477,1068
64,16063,12.1,5.54333333333333,41.6,64.4,4.9,0.9,42.7,23.2,14.9982474641861,10.0591666666667,1.6,30.2,-2.3,49.1233333333333,6.04833333333333,96.5,77,43.7,82.4,156,7.5,16.5,6.3,498,23500,42.7,17.9,8.7,23.6,169.6,58.5,4.8,5.7,0.56,2244,88,1,NA,8.6,96,6.82166666666667,8.51,23.2,14.2,-1.8,NA,49.4,5.59333333333333,1109.3,91.8,NA,2168.5,NA,50.7,LK Wartburgkreis,2413,1500,885,1728,2275,1599,3463,3662,3264,3980,4874,5775,2055,5126,7808,9652,61500,1441,2630,1578,1015,2054,2653,1727,3814,4139,3638,4425,5070,5904,2251,5287,7303,6486,61525,1551
